Date,Collected?,Depth_type,Depth_(cm),# Victorian Alpine Resorts - Daily Snow Depth Records - Lake Mountain 1993-2023. CC-BY Alpine Resorts Victoria
28/9/1997,Yes,Natural,0,
29/9/1997,Yes,Natural,0,
30/9/1997,Yes,Natural,0,
1/10/1997,Yes,Natural,0,
2/10/1997,Yes,Natural,0,
3/10/1997,Yes,Natural,0,
4/10/1997,Yes,Natural,0,
5/10/1997,Yes,Natural,0,
6/10/1997,Yes,Natural,0,
7/10/1997,Yes,Natural,0,
8/10/1997,No,,,
9/10/1997,No,,,
5/6/1998,Yes,Natural,0,
6/6/1998,Yes,Natural,0,
7/6/1998,Yes,Natural,0,
8/6/1998,Yes,Natural,0,
9/6/1998,Yes,Natural,0,
10/6/1998,Yes,Natural,0,
11/6/1998,Yes,Natural,0,
12/6/1998,Yes,Natural,0,
13/6/1998,Yes,Natural,0,
14/6/1998,Yes,Natural,0,
15/6/1998,Yes,Natural,0,
16/6/1998,Yes,Natural,3,
17/6/1998,Yes,Natural,3,
18/6/1998,Yes,Natural,6,
19/6/1998,Yes,Natural,2,
20/6/1998,Yes,Natural,2,
21/6/1998,Yes,Natural,0,
22/6/1998,Yes,Natural,1,
23/6/1998,Yes,Natural,1,
24/6/1998,Yes,Natural,8,
25/6/1998,Yes,Natural,33,
26/6/1998,Yes,Natural,25,
27/6/1998,Yes,Natural,33,
28/6/1998,Yes,Natural,30,
29/6/1998,Yes,Natural,32,
30/6/1998,Yes,Natural,32,
1/7/1998,Yes,Natural,34,
2/7/1998,Yes,Natural,30,
3/7/1998,Yes,Natural,25,
4/7/1998,Yes,Natural,30,
5/7/1998,Yes,Natural,15,
6/7/1998,Yes,Natural,15,
7/7/1998,Yes,Natural,8,
8/7/1998,Yes,Natural,6,
9/7/1998,Yes,Natural,16,
10/7/1998,Yes,Natural,40,
11/7/1998,Yes,Natural,40,
12/7/1998,Yes,Natural,40,
13/7/1998,Yes,Natural,38,
14/7/1998,Yes,Natural,38,
15/7/1998,Yes,Natural,36,
16/7/1998,Yes,Natural,35,
17/7/1998,Yes,Natural,30,
18/7/1998,Yes,Natural,28,
19/7/1998,Yes,Natural,26,
20/7/1998,Yes,Natural,24,
21/7/1998,Yes,Natural,20,
22/7/1998,Yes,Natural,18,
23/7/1998,Yes,Natural,18,
24/7/1998,Yes,Natural,18,
25/7/1998,Yes,Natural,16,
26/7/1998,Yes,Natural,14,
27/7/1998,Yes,Natural,12,
28/7/1998,Yes,Natural,17,
29/7/1998,Yes,Natural,42,
30/7/1998,Yes,Natural,47,
31/7/1998,Yes,Natural,52,
1/8/1998,Yes,Natural,52,
2/8/1998,Yes,Natural,50,
3/8/1998,Yes,Natural,51,
4/8/1998,Yes,Natural,48,
5/8/1998,Yes,Natural,48,
6/8/1998,Yes,Natural,38,
7/8/1998,Yes,Natural,30,
8/8/1998,Yes,Natural,28,
9/8/1998,Yes,Natural,25,
10/8/1998,Yes,Natural,20,
11/8/1998,Yes,Natural,18,
12/8/1998,Yes,Natural,15,
13/8/1998,Yes,Natural,10,
14/8/1998,Yes,Natural,10,
15/8/1998,Yes,Natural,8,
16/8/1998,Yes,Natural,8,
17/8/1998,Yes,Natural,12,
18/8/1998,Yes,Natural,10,
19/8/1998,Yes,Natural,8,
20/8/1998,Yes,Natural,6,
21/8/1998,Yes,Natural,6,
22/8/1998,Yes,Natural,4,
23/8/1998,Yes,Natural,5,
24/8/1998,Yes,Natural,6,
25/8/1998,Yes,Natural,5,
26/8/1998,Yes,Natural,4,
27/8/1998,Yes,Natural,4,
28/8/1998,Yes,Natural,3,
29/8/1998,Yes,Natural,4,
30/8/1998,Yes,Natural,2,
31/8/1998,Yes,Natural,0,
1/9/1998,Yes,Natural,0,
2/9/1998,Yes,Natural,0,
3/9/1998,Yes,Natural,0,
4/9/1998,Yes,Natural,0,
5/9/1998,Yes,Natural,0,
6/9/1998,Yes,Natural,0,
7/9/1998,Yes,Natural,0,
8/9/1998,Yes,Natural,0,
9/9/1998,Yes,Natural,0,
10/9/1998,Yes,Natural,0,
11/9/1998,Yes,Natural,0,
12/9/1998,Yes,Natural,0,
13/9/1998,Yes,Natural,0,
14/9/1998,Yes,Natural,0,
15/9/1998,Yes,Natural,14,
16/9/1998,Yes,Natural,18,
17/9/1998,Yes,Natural,18,
18/9/1998,Yes,Natural,15,
19/9/1998,Yes,Natural,0,
20/9/1998,Yes,Natural,0,
21/9/1998,Yes,Natural,0,
22/9/1998,Yes,Natural,0,
23/9/1998,Yes,Natural,0,
24/9/1998,Yes,Natural,0,
25/9/1998,No,,,
26/9/1998,No,,,
27/9/1998,No,,,
28/9/1998,No,,,
29/9/1998,No,,,
30/9/1998,No,,,
1/10/1998,No,,,
2/10/1998,No,,,
3/10/1998,No,,,
4/10/1998,No,,,
5/10/1998,No,,,
